VideoID,captions,cluster,cluster_letra
6Th-RGQShjc,retoro en 2019 girl standing front blackboard woman standing front blackboard woman standing front blackboard girl standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard girl standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard girl standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard girl standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard girl standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard girl standing front blackboard woman standing front blackboard woman standing front blackboard girl standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard girl standing front blackboard woman standing front blackboard woman standing front blackboard girl standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard girl standing front blackboard woman standing front blackboard woman standing front blackboard girl standing front blackboard woman standing front blackboard woman standing front blackboard girl writing blackboard woman standing front blackboard girl standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard girl standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard woman standing front blackboard girl standing front blackboard girl standing front blackboard,0,A
85WsCSmW3Xc,woman sitting table laptop woman white sign head,0,A
N8XdchwemrU,video screen showing two people screen man plaid shirt talking microphone man headset talking woman man headphone talking camera man talking screen video man shown screen video man shown screen video man shown screen video man talking screen video man shown screen video man white shirt talking screen presentation future future future future future future man shown screen video man talking screen video man talking screen video man shown screen video presentation future future future future future future man blue shirt talking woman man talking screen video presentation importance language man talking screen video presentation importance language presentation importance language presentation importance language man shown screen video presentation importance language presentation importance digital world man speaking screen blue background man talking woman screen man talking woman screen man shown screen video presentation importance language man white shirt talking woman presentation importance digital world video screen showing woman talking man presentation topic lecture topic lecture video screen showing video person talking man headset shown screen presentation topic lecture topic lecture presentation topic lecture topic lecture presentation future internet presentation topic lecture topic lecture presentation topic lecture topic lecture man white shirt screen man headset talking woman thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb screen video person man white shirt screen man white shirt screen man screen video screen thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb man white shirt screen thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb screen video person front screen man white shirt screen man talking woman screen man shown screen video man talking woman screen man talking video screen man talking woman screen man shown screen video man talking woman screen man talking woman screen man screen picture man talking woman screen video screen showing two people screen video screen showing two people whiteboard video screen showing two people whiteboard video screen showing two people whiteboard man blue shirt talking woman video screen showing two people whiteboard video screen showing two people whiteboard video screen showing two people whiteboard video screen showing two people whiteboard man talking woman screen video screen showing two people whiteboard woman speaking screen video screen presentation future machine learning man blue shirt talking woman man talking woman screen presentation future machine learning presentation future machine learning man shown screen diagram line graph presentation future machine learning man shown middle presentation video screen showing video man white shirt glass man shown middle presentation video screen showing man white shirt blue background word machine learning man blue shirt talking woman man blue shirt talking woman man white shirt talking woman video screen showing man white shirt blue background word machine learning man white shirt talking woman video screen showing man white shirt glass man white shirt talking woman video screen showing man blue shirt glass video screen man suit tie man white shirt talking woman man white shirt glass shown screen video screen man glass speech bubble man blue shirt talking woman man white shirt talking woman video screen man suit tie video screen man white shirt blue background language development classroom woman speaking microphone word understand language development classroom language development classroom language development classroom language development language development classroom woman speaking man video video screen man white shirt blue background man headphone talking camera woman speaking video screen woman speaking man video woman speaking man video woman shown screen video man headset speech screen woman shown screen video woman talking man screen woman shown screen video woman speaking man video woman shown screen video man blue shirt talking woman woman speaking screen video screen woman shown screen video woman speaking microphone woman shown screen video woman shown screen video face woman speaking microphone woman speaking microphone woman shown screen video woman shown screen video face woman speaking microphone woman shown screen video face screen video woman shown screen video face woman speaking microphone woman speaking microphone man headset speech screen woman blue shirt talking man woman blue shirt talking man woman blue shirt talking man woman blue shirt talking man woman blue shirt talking man woman blue shirt talking man man headset speech screen thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb woman speaking microphone woman shown screen video woman blue shirt talking man woman blue shirt talking man woman shown screen video man blue shirt talking woman thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb woman talking man screen woman talking man screen woman shown screen video woman speaking microphone white background woman speaking microphone word language language woman speaking microphone word cause present woman shown screen word study study woman shown screen word study study woman blue shirt speaking microphone woman blue shirt talking man woman speaking microphone woman blue shirt talking man woman speaking microphone woman speaking microphone woman shown screen text goal school classroom approximatelyly man talking video benefit using video woman talking man video woman talking man video woman blue shirt talking man woman talking man screen woman talking man screen woman talking man screen woman talking man screen woman talking man screen woman shown screen word data talk woman talking man screen woman talking man screen woman shown screen video man talking woman screen woman shown screen video woman talking man screen woman shown screen video woman shown middle presentation woman shown screen word sno woman shown middle presentation woman shown screen video man talking video benefit using wireless device woman blue shirt shown word demographic information woman speaking video screen woman shown screen video woman shown screen video thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb thumb woman talking man screen woman speaking microphone man talking woman screen woman shown screen word use id model language woman talking man screen woman talking man screen woman talking man screen woman blue shirt talking man woman shown screen word use ida model language woman shown screen word woman talking man screen woman blue shirt talking man woman shown screen word woman shown screen video woman shown screen word cross level network woman talking man screen woman wearing glass striped shirt woman talking man screen man talking woman screen woman shown screen message woman standing front screen woman glass standing front wall woman wearing glass striped shirt woman glass standing front wall woman shown screen quote woman wearing glass sweater standing front wall woman standing front screen man blue shirt talking microphone man talking video benefit using video man white shirt glass talking camera man white shirt glass talking camera man glass talking camera woman brown sweater standing front blue wall woman brown sweater standing front blue wall man blue shirt glass talking camera man glass talking camera woman brown sweater standing front blue wall woman sitting playing wii man white shirt glass talking woman man blue shirt talking woman woman holding piece food woman standing room hand woman standing front wall man glass talking camera woman standing room laptop man glass standing front screen man blue shirt talking someone man headset speech bubble man blue shirt talking camera man white shirt glass talking camera man white shirt glass talking camera man blue shirt glass standing front blue background woman sitting table laptop man white shirt standing front blue purple background man white shirt standing front blue purple background man blue shirt standing front blue purple background woman sitting talking someone woman sitting talking someone woman sitting table plate food man talking woman screen man white shirt standing front blue purple background woman standing front door woman standing room phone woman standing front wall woman standing room hand woman standing room hand woman standing room cell woman holding piece paper hand woman standing room cell woman standing room hand woman standing room hand man headset talking woman man white shirt talking cell man white shirt talking woman man glass talking camera man white shirt talking camera man glass talking camera man glass talking camera man white shirt glass talking man white shirt glass talking camera man blue shirt glass talking camera man headset talking woman woman sitting table talking man blue shirt glass talking camera woman sitting man white shirt tie talking camera woman sitting chair talking cell woman standing room laptop man talking phone woman standing room cell man white shirt speaking microphone man talking phone man sitting desk laptop man talking woman screen man white shirt standing front blue purple background woman standing front screen man white shirt standing front blue purple background man white shirt standing front blue purple background man white shirt standing front blue purple background man blue shirt standing front blue purple background woman brown sweater standing front blue purple background man white shirt standing front blue purple background man blue shirt standing front blue purple background man blue shirt standing front blue purple background woman brown sweater standing front blue purple background man headset talking woman woman brown sweater standing front blue background woman brown sweater standing front blue wall man blue shirt pointing camera woman wearing glass striped shirt man white shirt talking cell woman brown sweater standing front blue wall man white shirt sitting desk laptop headphone woman wearing glass man white shirt standing front blue purple background man white shirt standing front blue purple background woman wearing sunglass man headset talking woman man white shirt sitting man blue shirt standing front blue purple background man white shirt glass talking camera man blue shirt talking camera man white shirt glass talking camera man blue shirt talking woman man shirt standing front blue white background man white shirt tie standing front blue background man blue shirt sitting chair woman wearing glass man blue shirt glass standing front blue background man white shirt sitting looking camera woman glass man white shirt speaking microphone woman glass talking cell woman glass standing front wall man blue shirt standing front whiteboard blue arrow man shirt standing front blue purple background woman wearing glass man blue shirt talking woman woman wearing glass striped shirt man white shirt standing front blue purple background man headset blue background purple background man headset talking woman woman glass standing front computer man white shirt talking woman man white shirt sitting looking camera woman wearing glass woman wearing glass woman wearing glass woman wearing glass striped shirt woman wearing glass woman wearing glass striped shirt woman wearing glass woman wearing glass woman wearing glass striped shirt man talking woman video woman wearing glass woman wearing glass striped shirt man pointing camera man white shirt speaking man blue shirt standing front blue purple background man talking woman video man white shirt standing front blue purple background man white shirt standing front blue purple background man headphone head sitting front blue background man standing front blue purple background woman wearing glass striped shirt man white shirt standing front blue purple background man white shirt standing front blue purple background man blue shirt standing front blue purple background man white shirt standing front blue purple background woman wearing glass woman wearing glass woman wearing glass man white shirt headphone shown background blue purple background woman wearing glass woman glass standing front wall woman wearing glass woman wearing glass woman wearing glass woman wearing glass woman wearing glass woman glass standing front wall woman wearing glass man talking woman video woman glass standing front wall woman striped shirt holding cell woman wearing glass striped shirt man talking woman video woman glass sitting table woman glass making heart woman glass holding cell man talking woman video woman glass making peace sign man white shirt standing front blue purple background man blue shirt standing front blue purple background woman wearing glass striped shirt woman glass sitting table man white shirt glass standing front blue background man blue shirt glass standing front blue background man glass sitting looking camera man blue shirt talking camera man talking woman video man white shirt standing front blue purple background man white shirt standing front blue purple background man blue shirt talking woman man white shirt standing front blue purple background woman wearing glass man white shirt standing front blue purple background woman wearing glass woman wearing glass man white shirt standing front blue purple background man white shirt standing front blue purple background woman wearing glass man white shirt standing front blue purple background woman striped shirt talking someone man talking woman video woman striped shirt talking someone woman standing front screen woman sitting woman standing front screen woman sitting table laptop woman standing front blue wall man plaid shirt talking woman woman brown sweater standing front blue purple background man woman talking people man talking woman video woman standing room light man blue shirt talking woman man headset microphone man headset microphone speech man headset talking woman man headset talking woman man headset talking woman man headset microphone man headset microphone man headphone face man headphone face white background man plaid shirt talking woman man headphone face man headset talking woman man headset video screen man plaid shirt talking woman man headset video screen man headset video screen man blue shirt talking woman man talking woman screen man headset blue background white background man blue shirt talking woman man headset shown screen man headset talking woman man blue shirt talking woman man blue shirt talking woman man blue shirt talking woman man blue shirt talking woman man blue shirt talking woman man beard white shirt man blue shirt talking woman man blue shirt talking woman man talking phone holding hand ear man blue shirt talking woman man beard headset man blue shirt talking woman man headset quote man headset whiteboard blue background man glass screen presentation importance internet man talking woman screen man white shirt talking woman man talking woman video man talking woman video man speaking video screen man talking woman front screen man talking woman front screen man blue shirt talking woman video screen showing two men screen video screen showing two people screen video screen showing two people screen video screen showing presentation whiteboard video screen showing two people screen video screen showing two men whiteboard presentation future future future future future future,0,A
TCttcJjnxfs,woman dancing street man woman dancing street,0,A
Te1ov1q5P1I,woman sitting desk cup woman sitting chair room woman sitting desk cup woman sitting room blackboard woman black shirt sitting desk woman sitting desk green ball woman sitting desk blackboard woman sitting desk blackboard woman sitting desk blackboard woman sitting desk blackboard woman sitting desk laptop woman sitting room blackboard woman sitting desk blackboard woman sitting desk blackboard woman sitting room blackboard woman sitting desk blackboard woman sitting desk blackboard woman sitting desk blackboard woman sitting desk blackboard woman black shirt sitting desk woman sitting desk blackboard woman sitting desk laptop woman sitting desk blackboard woman sitting desk blackboard woman sitting desk laptop woman sitting desk blackboard woman sitting room blackboard woman sitting desk green wall woman black shirt sitting desk woman sitting desk hand chest woman sitting desk classroom woman standing front whiteboard word education day woman sitting desk blackboard woman sitting room blackboard,0,A
VsHECCRhjXk,woman striped dress playing pussy woman black white striped dress sitting couch woman sitting couch playing long hair woman black white striped dress sitting couch woman striped dress giving blow woman striped dress sitting couch woman black white striped dress sitting couch woman black white striped dress sitting couch woman striped dress sitting couch woman black white dress sitting couch woman striped dress sitting couch woman black white striped dress sitting couch woman long black hair sucking pussy woman striped dress sitting couch woman striped dress sitting couch woman striped dress sitting couch woman striped dress sitting couch woman striped dress sitting couch woman striped dress sitting couch woman black white dress playing pussy woman striped dress sitting couch woman striped dress sitting couch woman striped dress sitting couch woman black white striped dress sitting couch woman striped dress sitting couch woman striped dress sitting couch woman striped dress sitting couch woman striped dress sitting couch woman black white dress sitting couch woman striped dress sitting couch woman long black hair sitting couch woman striped dress sitting couch woman striped dress sitting couch woman sitting couch talking camera woman striped dress sitting couch woman striped dress sitting couch woman striped dress sitting couch woman long hair sitting couch woman black white dress sitting couch woman striped dress sitting couch woman sitting couch talking camera woman sitting couch making face woman black white striped dress sitting couch woman striped dress sitting couch woman sitting couch making face woman striped dress giving blow woman black white striped dress sitting couch woman black white striped dress sitting couch woman striped dress sitting couch woman black white striped dress sitting couch woman black white striped dress sitting couch woman black white dress sitting couch woman striped dress giving blow woman black white striped dress sitting couch woman striped dress sitting couch woman sitting couch licking woman black white dress sitting couch woman striped dress playing pussy woman black white striped dress sitting couch woman black white striped dress sitting couch woman striped dress giving blow woman black white dress sitting couch woman black white striped dress sitting couch woman black white dress sitting couch woman sitting couch making face woman long hair sitting couch woman sitting couch talking woman sitting couch talking woman striped dress sitting couch woman sitting couch talking camera woman striped dress playing pussy woman black white dress sitting couch woman sitting couch playing pussy woman black white dress sitting couch woman black white dress sitting couch woman black white dress sitting couch woman sitting couch talking woman black white dress sitting couch woman black white dress sitting couch woman black white dress sitting couch woman black white dress sitting couch woman black white dress sitting couch woman sitting couch making face woman sitting couch talking woman sitting couch talking woman sitting couch talking woman striped dress sitting couch woman sitting couch talking camera woman striped dress sitting couch,0,A
ffxpAExL8Ok,education podcast podcast education podcast podcast machine making red liquid 3d printer machine red light 3d printer machine red light man glass standing front computer man white shirt glass talking someone woman sitting chair talking man holding yellow dough dough two men recording studio one wearing headphone wearing headphone woman sitting chair talking woman sitting chair green blanket woman sitting chair talking machine making food woman making face taking selfie woman sitting chair talking machine making food woman sitting chair making face woman sitting chair cell phone machine making liquid table machine making food man glass talking someone man holding red button hand man glass talking someone machine making food man glass sitting man glass holding red object man glass talking someone man glass talking phone man glass talking camera woman sitting chair green blanket woman sitting chair green blanket two men recording studio headphone woman sitting chair talking woman sitting chair green blanket man sitting chair green chair woman mouth open green sweater woman sitting chair talking woman sitting couch talking woman sitting chair eye closed machine making food machine making food woman sitting chair talking 3d printer machine orange machine making food table woman sitting chair talking two people sitting front microphone machine making food machine making food 3d printer machine red ball person making cake machine woman sitting chair talking man standing front laptop computer man holding large stone block woman glass blue shirt 3d printer machine ball orange man glass talking someone man holding black box number woman sitting chair talking man glass sitting talking man glass standing front computer man glass standing front computer man glass talking someone man glass talking someone man glass pointing camera man glass holding hand woman smiling holding cell woman curly hair glass talking phone woman sitting chair talking machine making orange juice woman sitting chair cell 3d printer machine red liquid inside woman sitting chair talking woman sitting chair talking man glass talking someone man glass talking someone man glass talking someone man glass talking someone man shirt glass talking someone man glass sitting talking two men recording studio headphone two people sitting front microphone two men recording studio headphone two people sitting front microphone two men recording studio headphone two people sitting front microphone woman glass blue shirt woman glass microphone hand woman glass microphone hand two men recording studio headphone two people sitting front microphone two people sitting front microphone two people sitting front microphone two people sitting front microphone man green chair black shirt woman sitting chair green chair woman sitting chair green chair woman sitting chair green chair woman sitting chair green chair two people sitting front microphone woman sitting chair green chair machine making food woman sitting chair green chair man green chair surprised look face machine making food machine making food machine making food machine making food man glass standing front microphone man sitting chair green chair tech education podcast jeff brady man glass talking someone two people sitting front microphone man plaid shirt talking someone man plaid shirt standing front microphone man white shirt glass sitting man plaid shirt glass talking camera man white shirt glass talking cell man white shirt glass sitting man white shirt glass sitting two people sitting front microphone man white shirt glass sitting woman long curly hair glass woman long hair glass talking someone woman long curly hair glass man white shirt glass sitting man white shirt glass sitting woman long hair glass talking woman long curly hair glass woman long curly hair glass man shirt glass standing kitchen man white shirt glass sitting chair woman long curly hair glass woman long hair glass talking woman long curly hair glass woman sitting chair green blanket woman curly hair glass talking woman curly hair glass talking phone man playing guitar room 3d printer machine orange woman sitting front computer machine making food table woman sitting chair talking 3d printer machine piece orange woman sitting couch talking woman sitting chair talking man glass sitting desk man green shirt talking someone woman sitting chair talking woman sitting chair talking woman sitting chair green shirt woman sitting chair talking two people sitting front microphone woman sitting chair talking 3d printer machine red light woman sitting chair talking machine making food man red shirt sitting front microphone man green shirt sitting couch woman sitting chair talking man red shirt sitting front microphone man green shirt sitting couch person making bowl spoon person making bowl orange machine making food machine making food 3d printer machine red liquid poured man white shirt glass talking man white shirt glass talking camera man red shirt sitting front microphone man red shirt sitting front microphone blackboard word teacher note red apple man white shirt glass sitting man white shirt glass sitting front microphone woman sitting couch green sweater man red shirt sitting front microphone man talking puppet television screen woman sitting chair green chair woman sitting chair green chair two people sitting front microphone man suit tie holding microphone blackboard word teacher net red apple woman sitting chair eye closed two men room microphone two people sitting front computer man white shirt tie standing front microphone man suit tie standing next large orange monster two people sitting front microphone man red shirt sitting front microphone two men radio studio headphone man glass holding puppet 3d printer machine red substance woman glass shirt man shirt glass holding puppet man red shirt sitting front microphone man suit tie holding puppet 3d printer machine red yellow paint man red shirt talking woman red shirt man red shirt sitting front microphone man red shirt sitting front microphone man red shirt headphone talking woman red shirt man red shirt sitting front microphone man glass adjusting hair man glass sitting talking man white shirt glass man red shirt sitting front microphone man glass standing front microphone man white shirt glass talking someone man green shirt talking someone boy red shirt sitting front microphone man white shirt glass talking man red shirt sitting front microphone man white shirt glass standing front microphone woman sitting chair eye closed woman sitting chair green chair tech education podcast jen lukins woman sitting chair talking woman sitting chair eye closed woman sitting chair green chair woman sitting chair green blanket woman sitting chair green blanket woman sitting chair green chair woman sitting chair green chair man white shirt glass sitting woman glass jacket man white shirt glass talking man white shirt glass talking someone man white shirt glass talking someone woman long curly hair glass boy red shirt sitting front microphone man white shirt dancing man red shirt sitting front microphone man red shirt sitting front microphone man red shirt sitting desk headphone man white shirt glass standing front microphone woman glass blue shirt man glass talking camera woman sitting couch talking man standing front microphone two people talking radio studio two people recording room headphone person making glass vase person making glass sculpture person making red object 3d printer machine red yellow disc 3d printer machine red yellow light 3d printer machine red yellow light 3d printer machine red yellow paint 3d printer machine red orange object 3d printer machine red ball person using machine make piece art man glass standing front computer 3d printer machine red orange disc 3d printer machine red yellow paint 3d printer machine red orange object 3d printer machine red orange disc man glass sitting talking man glass talking camera woman sitting couch eye closed man glass talking someone man plaid shirt glass talking someone man white shirt glass talking someone man white shirt glass talking camera man glass sitting talking woman sitting chair eye closed woman sitting chair talking woman sitting chair talking man glass talking someone man white shirt glass talking man glass talking someone 3d printer machine red orange liquid 3d printer machine glass 3d printer machine red orange disc woman sitting chair talking 3d printer machine red orange object 3d printer machine red orange liquid 3d printer machine red orange object woman sitting green chair 3d printer machine red liquid inside 3d printer machine red liquid inside man white shirt glass talking someone man sitting chair eye closed person making bowl liquid woman glass shirt man glass holding microphone woman sitting chair eye closed woman glass blue shirt woman sitting chair green chair man glass playing video game man glass talking someone man white shirt glass talking woman sitting green chair man sitting chair eye closed man glass talking someone woman sitting chair talking man white shirt glass talking camera man white shirt glass talking someone man glass standing front mirror 3d printer machine red liquid inside woman sitting chair eye closed woman sitting chair green chair man glass standing front microphone man glass standing room man glass talking someone man glass talking someone man glass talking someone woman sitting chair eye closed 3d printer machine red yellow object man plaid shirt glass talking camera man white shirt glass talking someone 3d printer machine red yellow light man glass talking someone 3d printer machine red liquid inside woman glass headphone woman long hair glass talking 3d printer machine red yellow light woman long curly hair glass woman sitting chair talking woman sitting chair green chair 3d printer machine red yellow light 3d printer machine red yellow light woman sitting chair eye closed woman long curly hair glass woman glass shirt man glass standing front microphone two people sitting front microphone man red shirt talking microphone two men recording studio headphone two men recording studio headphone woman curly hair glass talking cell man white shirt glass standing front computer two men recording studio microphone two people sitting front microphone tech education podcast episode 1 two men recording studio one wearing headphone wearing headphone two men recording studio headphone two men recording studio headphone woman long curly hair glass two people sitting front microphone man white shirt glass standing front desk two people sitting front microphone woman long hair glass looking camera two men recording studio one wearing headphone wearing headphone woman curly hair glass talking phone woman curly hair glass taking hair woman glass blue shirt two people sitting front microphone two men recording studio headphone two men recording studio headphone woman sitting chair green chair woman glass sweater talking phone man long hair glass holding cell 3d printer machine red light 3d printer machine red light drum player playing drum recording studio 3d printer machine red light two men recording studio headphone machine making kind thing drum played man 3d printer machine red light 3d printer machine red light man red shirt sitting front microphone woman glass blue shirt man red shirt sitting front microphone man red shirt sitting front microphone woman sitting chair eye closed man red shirt sitting front microphone woman sitting couch talking woman curly hair glass talking man glass talking someone man glass talking someone woman curly hair glass talking phone man white shirt glass talking man white shirt glass talking person using machine make piece paper man red shirt sitting front microphone man red shirt sitting front microphone man red shirt sitting front microphone screen shot wordpress page man green shirt sitting couch teacher podcast cartoon book picture group child man red shirt sitting front microphone teacher podcast screen shot dashboard showing dashboard screen blackboard green chalkboard red apple man red shirt sitting front microphone blackboard word teacher note red apple teacher podcast man red shirt sitting front microphone man green sweater sitting woman sitting couch talking text wooden background man green sweater sitting couch woman sitting chair talking man green shirt sitting couch man green shirt talking someone woman sitting chair talking man sitting chair talking woman sitting chair talking woman sitting chair talking woman sitting chair eye closed two people sitting front microphone woman sitting chair green blanket man sitting chair talking woman sitting chair talking man green shirt sitting couch man sitting chair talking man red shirt sitting front microphone woman sitting chair talking woman sitting chair green chair man sitting chair eye closed woman sitting chair talking two people sitting front microphone woman sitting chair talking man green shirt sitting couch two men recording studio headphone two men recording studio headphone woman sitting chair talking man green shirt talking someone woman sitting chair talking woman sitting chair talking techshow episode 2 future techshow man green shirt talking someone woman making face sitting couch woman sitting chair talking woman sitting chair talking woman sitting chair talking woman sitting chair talking woman sitting couch talking man red shirt sitting front microphone woman sitting chair talking woman glass shirt woman sitting chair talking man red shirt singing microphone woman glass microphone hand man red shirt sitting front microphone man glass talking someone woman glass blue shirt 3d printer machine red light woman long curly hair glass 3d printer machine red flame coming woman long curly hair glass man glass talking someone woman glass microphone hand man red shirt sitting front microphone 3d printer machine red light 3d printer machine red light man red shirt sitting front microphone man red shirt sitting front microphone,0,A
fiO27fz3DJI,woman lying mat another watch little girl sitting floor playing mother,0,A
kEYlGbgg9Kw,small electronic device small screen black background yellow circle green circle brick word chip blackboard whiteboard blackboard whiteboard blackboard graph graph line going graph graph line graph graph graph black background three yellow eye one green eye blackboard whiteboard blackboard whiteboard whiteboard blackboard whiteboard blackboard whiteboard whiteboard blackboard whiteboard blackboard whiteboard blackboard black background white text read blackboard whiteboard blackboard whiteboard whiteboard blackboard whiteboard blackboard whiteboard blackboard brick wall letter e black background brown white block black background white line green line black background white line brown line black background brown white block black background number line white line video game black background white text read black background black background white line black background green face blue eye picture computer circuit red box green black logo square green brown square battery shown diagram black background white line blue line video game black background brown brick screenshot game red ball floor battery shown diagram black background white text read game game blackboard whiteboard whiteboard blackboard whiteboard cover book road future black background white text read 10 10 10 10 10 10 10 10 10 blackboard whiteboard whiteboard blackboard whiteboard black background yellow white number line black screen white text read getex black background green blue number line blackboard whiteboard whiteboard blackboard black background white text read 11 10 basic computer computer game blackboard green blue square diagram line number zero zero zero zero zero zero zero zero zero zero zero black screen number line number line arynx close binary encoding black screen green white number blackboard whiteboard whiteboard blackboard whiteboard graph number zero zero zero zero zero zero zero zero zero zero zero zero zero zero black screen green white number black screen green white number black background number line number line small device small device attached black screen number line green number line black background white text read arx close binary encoding small electronic device red light person holding phone small device black background green line white line binary calcula calcula calcula calcula calcula calcula calcula calcula calcula cal small electronic device red light small solar powered device board small device screen circuit circuit circuit small circuit small circuit small electronic device red light blackboard number different number black background colorful circle number blackboard whiteboard blackboard whiteboard blackboard,0,A
o-2s9sM8YS4,blue black background white border woman sitting couch man girl sitting bed talking friend woman white shirt jean sitting bed girl sitting bed playing toy woman white shirt man white shirt woman white shirt sitting bed young girl sitting bed girl mask face woman white shirt man white shirt woman white shirt sitting bed woman long hair white shirt man woman sitting bed woman white shirt sitting bed woman white shirt sitting bed woman sitting bed man girl long hair sitting bed two girl sitting bed one holding cell woman long hair white shirt woman sitting bed man woman white shirt sitting bed woman white shirt black pant sitting bed woman sitting couch laptop woman sitting bed man woman white shirt sitting bed girl sitting bed talking another woman sitting bed holding head woman white shirt black pant sitting bed woman white shirt sitting bed woman sitting bed man woman sitting bed man woman white shirt sitting bed woman white shirt sitting bed woman sitting bed man two girl sitting bed talking woman sitting bed talking another woman woman white shirt sitting bed woman sitting bed man two girl sitting bed one holding cell woman white shirt jean sitting bed woman sitting bed man woman long hair white shirt sitting bed woman sitting bed man background woman white shirt sitting bed two girl sitting bed talking woman sitting bed man woman white shirt jean sitting bed woman sitting bed talking another woman woman sitting bed man woman sitting bed man woman white shirt sitting bed woman white shirt sitting bed two girl sitting bed man background woman sitting bed man background woman sitting bed man woman white shirt sitting bed woman sitting bed green blanket girl long hair sitting bed girl sitting bed talking another girl sitting couch playing phone,0,A
